customer_inn,region,fz_type,procedure_type,nmck_rub,participants_count_est,nmck_log1p,drop_fraction,customer_avg_drop,customer_contracts_count
7702370808,Новосибирская область,223-ФЗ,Закупка у единственного поставщика,17329.99,3,9.76025163101018,0.0399,0.0804255589384793,21
7702257772,Московская область,44-ФЗ,Закупка у единственного поставщика,152875.83,4,11.937387819051194,0.01,0.1121286395901022,24
7704930456,Краснодарский край,44-ФЗ,Электронный аукцион,31714.0,7,10.364545152143783,0.141,0.125470998399845,19
7708242878,г. Москва,223-ФЗ,Электронный аукцион,33258.53,5,10.412096620258382,0.104,0.1040109467207588,22
7705200488,г. Москва,223-ФЗ,Запрос котировок,545611.21,6,13.209663757812429,0.1282,0.135404723929203,22
7709258868,Новосибирская область,223-ФЗ,Открытый конкурс,1156938.78,4,13.961288955456729,0.109,0.1345620206320257,32
7704256313,г. Москва,44-ФЗ,Закупка у единственного поставщика,417805.69,5,12.942774129138886,0.0532,0.1205443406774445,26
7704275153,Новосибирская область,44-ФЗ,Электронный аукцион,180263.89,1,12.102182652198254,0.0565,0.1312402774948168,30
7706957247,г. Санкт-Петербург,223-ФЗ,Запрос предложений,80391.63,7,11.294677746998945,0.1468,0.1031797711483649,24
7704275153,Челябинская область,223-ФЗ,Открытый конкурс,249959.11,4,12.429056614389904,0.044,0.1175383192709844,30
7704676757,Красноярский край,223-ФЗ,Электронный аукцион,100709.81,6,11.520008455259704,0.172,0.1235700083581989,22
7706013288,Московская область,44-ФЗ,Электронный аукцион,395104.14,8,12.8869071951567,0.1037,0.114119540230812,18
7708490337,Краснодарский край,44-ФЗ,Запрос котировок,28602.31,9,10.261277768256369,0.1938,0.1125494711097324,37
7703105455,г. Санкт-Петербург,44-ФЗ,Электронный аукцион,1563397.1,4,14.262372280402865,0.095,0.1202142743080497,32
7705480123,Московская область,223-ФЗ,Запрос котировок,159427.41,2,11.979350252691258,0.1136,0.101089866549014,22
7708074577,г. Москва,44-ФЗ,Открытый конкурс,870882.57,5,13.67726356876799,0.1154,0.142033863790748,15
7705053472,Красноярский край,44-ФЗ,Электронный аукцион,2184722.97,5,14.597000049859975,0.1075,0.1084871044829125,35
7708490337,Красноярский край,223-ФЗ,Электронный аукцион,798242.4,3,13.590168840227316,0.1328,0.1055662899642528,37
7709442461,Челябинская область,223-ФЗ,Закупка у единственного поставщика,1864359.69,5,14.43842875765359,0.1011,0.1024502793404001,19
7706794785,Челябинская область,44-ФЗ,Запрос котировок,10721.96,4,9.280142589036426,0.1402,0.0938688036790252,27
